"x0","y0","c0","x1","y1","c1","x2","y2","c2","x3","y3","c3","x4","y4","c4","x5","y5","c5","x6","y6","c6","x7","y7","c7","x8","y8","c8","x9","y9","c9","x10","y10","c10","x11","y11","c11","x12","y12","c12","x13","y13","c13","x14","y14","c14","x15","y15","c15","x16","y16","c16","x17","y17","c17","x18","y18","c18","x19","y19","c19","x20","y20","c20","x21","y21","c21","x22","y22","c22","x23","y23","c23","x24","y24","c24"
359.389,163.647,0.920765,371.129,215.798,0.833301,350.275,218.399,0.794548,339.746,277.168,0.634969,338.476,297.979,0.368745,391.97,214.486,0.842046,382.861,286.253,0.68988,348.927,288.888,0.615787,368.455,337.144,0.489536,352.834,333.242,0.423252,322.793,392.006,0.746038,344.979,476.81,0.469677,380.213,337.172,0.508172,308.491,346.303,0.801247,305.859,420.673,0.423681,358.007,158.407,0.831512,369.732,159.673,0.904073,0,0,0,382.822,164.922,0.872942,298.007,423.305,0.0564631,0,0,0,308.442,423.279,0.203396,339.786,476.818,0.122825,339.764,476.828,0.0997647,348.891,476.824,0.278417
359,164,1,371,216,1,350,218,1,340,277,1,338,298,1,392,214,1,383,286,1,349,289,1,368,337,1,353,333,1,323,392,1,345,477,1,380,337,1,308,346,1,306,421,1,358,158,1,370,160,1,0,0,0,383,165,1,298,423,1,0,0,0,308,423,1,340,477,1,340,477,1,349,477,1
359,164,1,371,216,1,350,218,1,340,277,1,338,298,1,392,214,1,383,287,1,349,289,1,368,337,1,353,333,1,322,394,1,345,477,1,380,337,1,308,347,1,306,421,1,358,158,1,370,160,1,0,0,0,383,165,1,298,423,1,0,0,0,308,423,1,340,477,1,340,477,1,349,477,1
359,164,1,371,216,1,350,218,1,340,277,1,338,298,1,392,214,1,383,287,1,349,289,1,368,337,1,353,333,1,322,394,1,345,477,1,380,337,1,308,348,1,306,421,1,358,158,1,370,160,1,0,0,0,383,165,1,298,423,1,311,434,1,308,423,1,340,477,1,340,477,1,349,477,1
359,164,1,371,216,1,350,218,1,340,277,1,338,298,1,392,214,1,383,287,1,349,289,1,368,337,1,353,333,1,322,394,1,345,477,1,380,337,1,308,349,1,306,421,1,358,158,1,370,160,1,0,0,0,383,165,1,298,423,1,310.963,433.935,0,308,423,1,340,477,1,340,477,1,349,477,1
359,164,1,371,216,1,350,218,1,340,277,1,338,298,1,392,214,1,383,287,1,349,289,1,368,337,1,353,333,1,322,394,1,345,477,1,380,337,1,308,349,1,306,421,1,358,158,1,370,160,1,0,0,0,383,165,1,298,427,1,310.968,433.933,0,308,423,1,340,477,1,340,477,1,349,477,1
359,164,1,371,216,1,350,218,1,340,277,1,338,298,1,392,214,1,383,287,1,349,289,1,368,337,1,353,333,1,322,394,1,345,477,1,380,337,1,309,349,1,306,424,1,358,158,1,370,160,1,0,0,0,383,165,1,297.992,426.986,0,310.979,433.963,0,308,427,1,340,477,1,340,477,1,349,477,1
359,164,1,371,216,1,350,218,1,340,277,1,338,298,1,392,214,1,383,286,1,349,289,1,368,337,1,353,333,1,322,394,1,345,477,1,380,337,1,309,350,1,306,427,1,358,158,1,370,160,1,0,0,0,383,165,1,298.024,426.989,0,310.986,433.917,0,308,431,1,340,477,1,340,477,1,349,477,1
359,164,1,371,215,1,350,218,1,340,277,1,367,294,1,392,214,1,383,285,1,349,288,1,368,337,1,353,333,1,322,394,1,345,477,1,380,337,1,309,350,1,306,427,1,358,158,1,370,160,1,0,0,0,383,165,1,298,427,1,311.001,434.012,0,308,431,1,343,477,1,340,477,1,349,477,1
359,164,1,371,214,1,350,218,1,340,277,1,367,294,1,392,214,1,382,286,1,345,288,1,366,337,1,353,333,1,322,394,1,345,477,1,380,337,1,309,350,1,306,427,1,358,158,1,370,160,1,0,0,0,383,165,1,298.025,426.999,0,311.018,433.987,0,316,460,1,343,477,1,340,477,1,349,477,1
359,164,1,371,213,1,350,218,1,340,277,1,340,298,1,392,214,1,382,285,1,345,288,1,366,337,1,353,333,1,322,394,1,345,477,1,380,337,1,309,350,1,306,427,1,358,158,1,370,160,1,0,0,0,383,165,1,298.006,426.991,0,311.011,434.012,0,308,425,1,343,477,1,340,477,1,349,477,1
359,164,1,371,213,1,350,218,1,340,277,1,340,298,1,392,214,1,382,285,1,345,288,1,366,337,1,353,333,1,322,394,1,345,477,1,380,337,1,309,350,1,306,427,1,358,158,1,370,160,1,0,0,0,383,165,1,298.046,427.045,0,311.027,434.05,0,316,461,1,343,477,1,343,477,1,349,477,1
359,164,1,371,213,1,350,218,1,340,277,1,359,297,1,392,214,1,382,285,1,345,288,1,366,337,1,353,333,1,322,394,1,345,477,1,380,337,1,309,350,1,306,425,1,358,158,1,370,160,1,0,0,0,383,165,1,298.04,427.034,0,310.992,433.97,0,307,423,1,343,477,1,343,477,1,349,477,1
