"x0","y0","c0","x1","y1","c1","x2","y2","c2","x3","y3","c3","x4","y4","c4","x5","y5","c5","x6","y6","c6","x7","y7","c7","x8","y8","c8","x9","y9","c9","x10","y10","c10","x11","y11","c11","x12","y12","c12","x13","y13","c13","x14","y14","c14","x15","y15","c15","x16","y16","c16","x17","y17","c17","x18","y18","c18","x19","y19","c19","x20","y20","c20","x21","y21","c21","x22","y22","c22","x23","y23","c23","x24","y24","c24"
412.896,124.471,0.869028,422.012,193.588,0.847931,388.026,201.457,0.732818,382.845,299.324,0.686248,402.426,265.43,0.703162,455.911,185.782,0.752312,472.836,278.455,0.620748,476.785,372.385,0.781026,424.58,339.76,0.486418,401.119,337.177,0.470562,392.003,365.876,0.0979815,0,0,0,449.393,341.1,0.47621,424.577,401.109,0.296944,424.611,476.813,0.05702,405.006,117.951,0.866046,423.238,115.339,0.897351,398.486,127.06,0.425959,435.016,120.609,0.740432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413,124,1,422,194,1,388,201,1,383,299,1,402,265,1,456,186,1,473,278,1,477,372,1,425,340,1,401,337,1,392,366,1,0,0,0,449,341,1,425,401,1,425,477,1,405,118,1,423,115,1,398,127,1,435,121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,124,1,420,187,1,388,198,1,380,294,1,402,237,1,454,185,1,473,276,1,477,368,1,423,339,1,401,336,1,419,419,1,0,0,0,449,341,1,425,412,1,422.521,476.995,0,403,118,1,421,115,1,396,127,1,433,121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409,124,1,422,190,1,387,196,1,381,288,1,397,226,1,452,184,1,473,275,1,477,364,1,421,338,1,401,335,1,415,418,1,0,0,0,447,340,1,422,413,1,419.182,477.061,0,401,118,1,419,115,1,394,127,1,431,121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,124,1,420,185,1,386,195,1,380,295,1,387,255,1,450,183,1,472,272,1,476,357,1,421,335,1,401,332,1,391,345,1,0,0,0,446,338,1,432,408,1,415.83,477.013,0,399,118,1,417,115,1,392,127,1,429,121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,124,1,418,183,1,385,194,1,379,287,1,386,245,1,448,182,1,471,271,1,475,350,1,421,332,1,401,330,1,390,346,1,0,0,0,445,335,1,430,408,1,412.466,477.001,0,398,118,1,415,115,1,391,127,1,427,121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,124,1,417,181,1,384,193,1,378,278,1,392,188,1,447,181,1,468,267,1,472,338,1,420,331,1,402,327,1,389,346,1,414,477,1,445,332,1,413,410,1,413,477,1,397,118,1,414,115,1,390,126,1,426,121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,477,1
403,123,1,416,179,1,383,189,1,377,270,1,391,185,1,446,180,1,467,265,1,469,330,1,423,328,1,403,324,1,389,344,1,415,477,1,448,329,1,393,413,1,410.203,476.857,0,396,117,1,413,114,1,389,125,1,425,120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,477,1
402,122,1,416,180,1,383,188,1,376,265,1,390,185,1,445,179,1,466,263,1,465,321,1,426,326,1,403,324,1,389,344,1,412,473,1,451,328,1,392,412,1,405,477,1,395,116,1,412,113,1,388,123,1,424,119,1,0,0,0,0,0,0,404,477,1,0,0,0,0,0,0,415,477,1
401,121,1,416,179,1,383,188,1,376,262,1,391,173,1,444,178,1,465,261,1,455,310,1,425,325,1,403,324,1,389,344,1,409,473,1,445,329,1,391,410,1,398,477,1,394,115,1,411,112,1,387,121,1,423,118,1,0,0,0,0,0,0,397,477,1,0,0,0,0,0,0,412,477,1
