"x0","y0","c0","x1","y1","c1","x2","y2","c2","x3","y3","c3","x4","y4","c4","x5","y5","c5","x6","y6","c6","x7","y7","c7","x8","y8","c8","x9","y9","c9","x10","y10","c10","x11","y11","c11","x12","y12","c12","x13","y13","c13","x14","y14","c14","x15","y15","c15","x16","y16","c16","x17","y17","c17","x18","y18","c18","x19","y19","c19","x20","y20","c20","x21","y21","c21","x22","y22","c22","x23","y23","c23","x24","y24","c24"
566.816,194.914,0.809621,514.603,223.65,0.616023,476.798,213.233,0.590655,451.982,341.083,0.712218,506.801,360.639,0.42062,548.573,234.076,0.424035,510.729,337.154,0.166064,0,0,0,411.556,338.443,0.538271,382.849,338.43,0.531152,495.104,391.946,0.82251,0,0,0,437.651,339.739,0.445265,525.027,378.944,0.723802,514.648,476.827,0.0559915,556.386,181.837,0.862814,570.742,183.187,0.842724,523.771,172.795,0.721467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
567,195,1,515,224,1,477,213,1,452,341,1,507,361,1,549,234,1,511,337,1,0,0,0,412,338,1,383,338,1,495,392,1,0,0,0,438,340,1,525,379,1,515,477,1,556,182,1,571,183,1,524,173,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
567,195,1,515,224,1,477,213,1,452,341,1,507,361,1,549,234,1,511,337,1,0,0,0,412,338,1,383,338,1,495,392,1,0,0,0,438,340,1,525,379,1,515,477,1,556,182,1,571,183,1,524,173,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
567,195,1,515,224,1,477,213,1,452,341,1,507,361,1,552,236,1,512,334,1,0,0,0,412,338,1,383,338,1,495,392,1,0,0,0,438,340,1,525,379,1,515,477,1,556,182,1,571,183,1,524,173,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
567,195,1,515,224,1,477,213,1,452,341,1,507,361,1,552,236,1,512,334,1,0,0,0,412,338,1,383,338,1,495,392,1,0,0,0,438,340,1,525,379,1,515,477,1,556,182,1,571,183,1,524,173,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
567,195,1,515,224,1,477,213,1,452,341,1,507,361,1,552,236,1,512,334,1,0,0,0,411,338,1,382,338,1,495,392,1,0,0,0,438,340,1,525,379,1,515,477,1,556,182,1,571,183,1,524,173,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
567,195,1,515,224,1,477,213,1,451,340,1,507,361,1,552,235,1,512,334,1,0,0,0,410,338,1,381,338,1,494,392,1,0,0,0,437,340,1,525,379,1,515,477,1,556,182,1,571,183,1,524,173,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
567,195,1,512,224,1,477,213,1,451,340,1,507,361,1,550,235,1,512,334,1,0,0,0,410,338,1,381,338,1,494,392,1,0,0,0,437,340,1,525,379,1,515,477,1,556,182,1,571,183,1,524,173,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
567,194,1,511,223,1,476,212,1,449,339,1,507,361,1,550,234,1,510,336,1,0,0,0,409,337,1,380,337,1,492,391,1,0,0,0,436,339,1,525,379,1,515,477,1,556,181,1,571,182,1,524,173,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
567,194,1,510,223,1,476,212,1,448,338,1,507,361,1,550,233,1,510,336,1,0,0,0,410,339,1,380,337,1,492,391,1,0,0,0,435,338,1,525,379,1,515,477,1,556,181,1,571,182,1,524,173,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
