"x0","y0","c0","x1","y1","c1","x2","y2","c2","x3","y3","c3","x4","y4","c4","x5","y5","c5","x6","y6","c6","x7","y7","c7","x8","y8","c8","x9","y9","c9","x10","y10","c10","x11","y11","c11","x12","y12","c12","x13","y13","c13","x14","y14","c14","x15","y15","c15","x16","y16","c16","x17","y17","c17","x18","y18","c18","x19","y19","c19","x20","y20","c20","x21","y21","c21","x22","y22","c22","x23","y23","c23","x24","y24","c24"
320.248,181.863,0.892101,355.433,223.602,0.797199,338.506,227.54,0.786798,338.406,300.649,0.795064,329.32,347.57,0.857202,371.104,214.552,0.795305,389.347,283.676,0.668187,372.406,346.296,0.732735,376.301,337.176,0.576745,358.056,333.274,0.595022,307.163,365.886,0.829413,329.372,462.426,0.484905,391.977,339.744,0.562616,338.428,388.023,0.79401,342.384,476.803,0.335698,0,0,0,329.3,172.707,0.944051,0,0,0,350.192,179.262,0.883573,339.815,476.835,0.0557298,0,0,0,347.601,476.812,0.192157,0,0,0,0,0,0,335.838,465.037,0.171663
320,182,1,355,224,1,339,228,1,338,301,1,329,348,1,371,215,1,389,284,1,372,346,1,376,337,1,358,333,1,307,366,1,329,462,1,392,340,1,338,388,1,342,477,1,0,0,0,329,173,1,0,0,0,350,179,1,340,477,1,0,0,0,348,477,1,0,0,0,0,0,0,336,465,1
320,182,1,355,224,1,339,228,1,338,301,1,329,348,1,371,215,1,389,284,1,372,346,1,376,337,1,358,333,1,307,366,1,329,462,1,392,340,1,338,388,1,342,477,1,0,0,0,329,173,1,0,0,0,350,179,1,340,477,1,0,0,0,348,477,1,0,0,0,0,0,0,336,465,1
322,182,1,356,223,1,340,228,1,339,301,1,329,348,1,372,215,1,391,281,1,372,346,1,376,336,1,358,332,1,307,366,1,329,462,1,392,340,1,338,388,1,342,477,1,0,0,0,331,173,1,0,0,0,351,178,1,340,477,1,0,0,0,348,477,1,0,0,0,0,0,0,336,465,1
326,179,1,357,222,1,341,228,1,340,301,1,329,348,1,373,215,1,392,281,1,374,344,1,376,336,1,358,332,1,307,366,1,330,463,1,392,340,1,338,388,1,347,478,1,0,0,0,333,172,1,0,0,0,353,177,1,341.488,477.893,0,0,0,0,350,478,1,324,477,1,320,477,1,337,466,1
328,176,1,358,221,1,342,228,1,341,301,1,329,345,1,374,215,1,393,281,1,374,344,1,376,336,1,358,332,1,307,366,1,331,461,1,392,340,1,338,389,1,354,478,1,0,0,0,336,168,1,0,0,0,355,176,1,343.249,478.697,0,0,0,0,356,478,1,323,478,1,320,477,1,338,464,1
331,175,1,360,220,1,342,225,1,340,300,1,329,345,1,376,215,1,394,281,1,374,344,1,376,336,1,358,332,1,307,366,1,330,457,1,393,340,1,339,390,1,359,479,1,329,162,1,339,165,1,0,0,0,357,175,1,345.377,479.519,0,0,0,0,364,478,1,331,466,1,319.776,476.848,0,338,460,1
333,173,1,362,219,1,342,223,1,340,300,1,329,345,1,378,215,1,394,279,1,375,344,1,375,336,1,357,334,1,307,366,1,330,457,1,394,340,1,340,390,1,368,479,1,332,161,1,342,164,1,0,0,0,359,174,1,371,477,1,0,0,0,368,479,1,331.237,466.118,0,319.455,476.639,0,338,460,1
336,173,1,364,218,1,342,220,1,341,300,1,329,344,1,380,215,1,395,279,1,376,344,1,376,336,1,358,334,1,307,364,1,330,457,1,395,340,1,342,390,1,372,480,1,335,161,1,345,163,1,0,0,0,361,173,1,375,478,1,0,0,0,372,480,1,331.21,466.132,0,319.341,476.585,0,338,460,1
339,169,1,366,217,1,342,220,1,341,297,1,329,343,1,382,215,1,397,279,1,378,344,1,377,336,1,359,334,1,307,363,1,330,457,1,396,340,1,344,390,1,374,480,1,338,160,1,348,162,1,0,0,0,364,172,1,375,478,1,0,0,0,377,479,1,331.223,466.089,0,319.289,476.491,0,338,460,1
