"x0","y0","c0","x1","y1","c1","x2","y2","c2","x3","y3","c3","x4","y4","c4","x5","y5","c5","x6","y6","c6","x7","y7","c7","x8","y8","c8","x9","y9","c9","x10","y10","c10","x11","y11","c11","x12","y12","c12","x13","y13","c13","x14","y14","c14","x15","y15","c15","x16","y16","c16","x17","y17","c17","x18","y18","c18","x19","y19","c19","x20","y20","c20","x21","y21","c21","x22","y22","c22","x23","y23","c23","x24","y24","c24"
526.357,107.476,0.900828,508.104,189.684,0.795495,455.953,181.901,0.734754,436.335,284.983,0.77975,475.465,347.603,0.826797,559.052,193.657,0.753161,553.756,295.414,0.712619,506.798,350.163,0.807561,489.839,338.497,0.650897,455.939,335.873,0.616296,462.388,394.567,0.754173,442.865,476.82,0.0715257,523.786,341.103,0.64289,553.792,398.495,0.712213,555.082,476.813,0.109878,515.878,93.1637,0.872541,536.759,97.0467,0.892634,493.728,99.6205,0.907535,544.611,101.02,0.197515,0,0,0,0,0,0,556.382,476.828,0.0533439,0,0,0,0,0,0,0,0,0
526,107,1,508,190,1,456,182,1,436,285,1,475,348,1,559,194,1,554,295,1,507,350,1,490,338,1,456,336,1,462,395,1,443,477,1,524,341,1,554,398,1,555,477,1,516,93,1,537,97,1,494,100,1,545,101,1,0,0,0,0,0,0,556,477,1,0,0,0,0,0,0,0,0,0
524,106,1,507,190,1,455,182,1,436,285,1,474,348,1,558,193,1,553,295,1,506,350,1,489,338,1,455,336,1,460,395,1,440.702,476.971,0,523,341,1,553,398,1,558,477,1,514,93,1,535,97,1,492,100,1,543,101,1,0,0,0,0,0,0,556,477,1,0,0,0,0,0,0,0,0,0
520,105,1,504,189,1,453,182,1,435,285,1,472,348,1,556,191,1,552,295,1,504,350,1,487,338,1,453,336,1,455,395,1,435,477,1,521,341,1,551,398,1,558,477,1,510,92,1,531,96,1,489,100,1,539,100,1,0,0,0,0,0,0,556,477,1,0,0,0,0,0,0,0,0,0
516,104,1,501,189,1,451,182,1,434,285,1,470,348,1,555,192,1,551,295,1,501,350,1,484,338,1,451,336,1,443,408,1,428.982,476.885,0,519,341,1,548,396,1,555,477,1,506,91,1,527,95,1,486,100,1,535,100,1,0.217099,0.427346,0,0.217099,0.427346,0,556,477,1,0.217099,0.427346,0,0.217099,0.427346,0,0.217099,0.427346,0
510,103,1,501,189,1,449,182,1,433,285,1,467,348,1,553,190,1,550,295,1,498,350,1,484,338,1,452,337,1,436,410,1,423.448,476.45,0,517,341,1,545,394,1,552,477,1,499,91,1,520,93,1,483,100,1,531,100,1,0.217099,0.427346,0,0.217099,0.427346,0,553,477,1,0.217099,0.427346,0,0.217099,0.427346,0,0.217099,0.427346,0
506,103,1,498,188,1,447,183,1,432,285,1,464,348,1,551,188,1,549,295,1,495,350,1,484,338,1,453,337,1,428,432,1,421.193,475.893,0,515,341,1,543,394,1,550,477,1,495,91,1,516,93,1,480,100,1,527,100,1,0.306211,0.57696,0,0.306211,0.57696,0,553,477,1,0.306211,0.57696,0,0.306211,0.57696,0,0.306211,0.57696,0
504,103,1,497,188,1,446,183,1,432,285,1,463,348,1,550,190,1,549,293,1,494,350,1,482,338,1,452,337,1,432,401,1,420,476,1,514,341,1,540,397,1,550,477,1,493,91,1,514,93,1,478,100,1,525,100,1,0.323299,0.60633,0,0.323299,0.60633,0,552.685,477.174,0,0.323299,0.60633,0,0.323299,0.60633,0,0.323299,0.60633,0
498,103,1,493,187,1,444,184,1,431,285,1,461,348,1,547,188,1,547,292,1,492,350,1,481,338,1,448,336,1,422,422,1,414.981,475.063,0,514,341,1,532,400,1,548.734,477.399,0,487,91,1,507,91,1,473,100,1,520,99,1,0.328808,0.617649,0,0.328808,0.617649,0,551.01,477.756,0,0.328808,0.617649,0,0.328808,0.617649,0,0.328808,0.617649,0
496,103,1,492,187,1,443,184,1,431,285,1,460,348,1,546,187,1,546,291,1,490,350,1,482,337,1,450,336,1,418,396,1,413,475,1,513,341,1,530,400,1,538,477,1,484,91,1,505,91,1,469,100,1,518,99,1,0.328808,0.617649,0,0.328808,0.617649,0,550.163,478.092,0,0.328808,0.617649,0,0.328808,0.617649,0,0.328808,0.617649,0
489,102,1,491,186,1,441,185,1,430,285,1,456,348,1,543,185,1,544,290,1,488,349,1,480,337,1,449,334,1,413,393,1,408,474,1,513,340,1,526,419,1,535.093,477.268,0,479,91,1,498,90,1,464,100,1,513,98,1,0.328808,0.617649,0,0.328808,0.617649,0,546.773,478.993,0,0.328808,0.617649,0,0.328808,0.617649,0,0.328808,0.617649,0
487,102,1,490,186,1,440,185,1,430,285,1,455,348,1,542,185,1,543,289,1,486,349,1,479,337,1,448,334,1,410,392,1,408,476,1,512,340,1,517,396,1,533,477,1,476,91,1,497,90,1,462,100,1,511,98,1,0.328808,0.617649,0,0.328808,0.617649,0,545.861,479.306,0,0.328808,0.617649,0,0.328808,0.617649,0,0.328808,0.617649,0
480,101,1,487,185,1,439,186,1,430,285,1,452,348,1,540,184,1,542,288,1,483,350,1,479,338,1,448,335,1,405,390,1,404.98,475.464,0,510,340,1,512,397,1,528.94,476.953,0,471,91,1,491,90,1,459,100,1,508,98,1,0.328808,0.617649,0,0.328808,0.617649,0,542.745,479.713,0,0.328808,0.617649,0,0.328808,0.617649,0,0.328808,0.617649,0
476,101,1,484,184,1,438,187,1,431,283,1,451,345,1,538,183,1,541,286,1,480,350,1,476,338,1,445,334,1,399,388,1,400.34,474.479,0,507,340,1,506,399,1,524.429,476.886,0,468,91,1,487,90,1,456,100,1,505,98,1,0.328808,0.617649,0,0.328808,0.617649,0,539.309,479.972,0,0.328808,0.617649,0,0.328808,0.617649,0,0.328808,0.617649,0
472,101,1,482,183,1,437,188,1,431,283,1,448,345,1,536,181,1,539,286,1,477,351,1,477,338,1,446,335,1,394,386,1,396.097,473.291,0,508,339,1,500,402,1,519.617,476.829,0,465,91,1,484,90,1,453,100,1,502,98,1,0.328808,0.617649,0,0.328808,0.617649,0,535.628,480.069,0,0.328808,0.617649,0,0.328808,0.617649,0,0.328808,0.617649,0
469,101,1,483,183,1,437,189,1,432,281,1,445,345,1,534,180,1,537,285,1,474,352,1,478,338,1,446,336,1,389,384,1,401,477,1,509,340,1,494,405,1,514.083,476.7,0,460,92,1,479,90,1,451,100,1,500,98,1,0.328808,0.617649,0,0.328808,0.617649,0,531.263,480.119,0,0.328808,0.617649,0,0.328808,0.617649,0,0.328808,0.617649,0
466,102,1,481,182,1,437,190,1,433,281,1,442,345,1,532,179,1,534,286,1,471,353,1,475,339,1,446,337,1,384,382,1,397.528,476.1,0,509,340,1,487,407,1,507.314,476.61,0,458,93,1,476,91,1,449,100,1,498,99,1,0.328808,0.617649,0,0.328808,0.617649,0,526.732,480.281,0,0.328808,0.617649,0,0.328808,0.617649,0,0.328808,0.617649,0
