"x0","y0","c0","x1","y1","c1","x2","y2","c2","x3","y3","c3","x4","y4","c4","x5","y5","c5","x6","y6","c6","x7","y7","c7","x8","y8","c8","x9","y9","c9","x10","y10","c10","x11","y11","c11","x12","y12","c12","x13","y13","c13","x14","y14","c14","x15","y15","c15","x16","y16","c16","x17","y17","c17","x18","y18","c18","x19","y19","c19","x20","y20","c20","x21","y21","c21","x22","y22","c22","x23","y23","c23","x24","y24","c24"
359.341,78.8474,0.913288,351.567,150.528,0.822668,307.133,151.896,0.81038,287.619,222.306,0.598683,268.009,248.438,0.723375,401.065,144.027,0.738651,421.952,254.911,0.816207,347.62,275.809,0.840332,373.709,299.353,0.628449,348.869,303.225,0.62481,348.945,381.534,0.603222,361.97,476.795,0.354701,403.751,299.343,0.557082,329.379,328.01,0.771726,301.923,431.106,0.315215,343.714,68.3971,0.872332,367.199,67.1072,0.909029,326.675,78.783,0.777436,377.633,73.5922,0.239129,0,0,0,0,0,0,298.036,436.351,0.152217,360.65,476.825,0.0724119,0,0,0,368.494,476.812,0.182354
361,79,1,353,151,1,308,152,1,288,222,1,269,251,1,402,145,1,423,256,1,349,277,1,374,299,1,350,303,1,348,381,1,362,477,1,404,300,1,329,328,1,301,431,1,345,69,1,369,68,1,328,79,1,379,74,1,0,0,0,0,0,0,298,436,1,361,477,1,0,0,0,368,477,1
364,80,1,356,151,1,310,152,1,289,222,1,274,248,1,404,147,1,424,257,1,351,278,1,374,299,1,348,302,1,347,380,1,362,477,1,403,301,1,329,328,1,300,427,1,348,70,1,372,69,1,331,80,1,382,75,1,285,423,1,0,0,0,297,435,1,361,477,1,358,477,1,368,477,1
366,81,1,358,151,1,312,152,1,290,224,1,278,245,1,406,148,1,425,258,1,353,279,1,375,299,1,348,301,1,347,379,1,362,477,1,403,302,1,329,328,1,300,427,1,351,71,1,374,70,1,334,81,1,384,76,1,284.91,422.912,0,0,0,0,297,435,1,361,477,1,358,477,1,368,477,1
368,82,1,360,151,1,314,152,1,291,230,1,275,255,1,408,149,1,426,258,1,352,279,1,376,299,1,350,301,1,348,378,1,362,477,1,403,302,1,330,328,1,301,425,1,353,72,1,376,71,1,337,82,1,386,77,1,284.875,422.878,0,0,0,0,297,435,1,361,477,1,358,477,1,368,477,1
370,82,1,362,151,1,316,152,1,294,230,1,281,255,1,410,150,1,427,258,1,354,279,1,378,299,1,351,303,1,349,378,1,363,477,1,404,302,1,331,327,1,302,425,1,355,73,1,378,72,1,339,82,1,388,78,1,285.665,423.512,0,0,0,0,299,433,1,362,477,1,359,477,1,369,477,1
372,82,1,364,151,1,318,152,1,297,230,1,286,257,1,412,150,1,429,258,1,357,279,1,377,301,1,351,304,1,350,378,1,363,477,1,405,302,1,334,326,1,305,422,1,357,73,1,380,72,1,341,82,1,390,78,1,259,370,1,271,380,1,304,430,1,362,477,1,359,477,1,369,477,1
374,85,1,365,151,1,319,152,1,299,228,1,290,256,1,413,150,1,430,258,1,359,279,1,378,304,1,352,304,1,351,378,1,363,477,1,406,302,1,335,326,1,305,422,1,358,73,1,381,72,1,342,82,1,391,78,1,259,370,1,271,380,1,304,430,1,362,477,1,359,477,1,369,477,1
377,86,1,369,151,1,323,152,1,306,228,1,298,247,1,417,151,1,434,258,1,365,279,1,381,302,1,354,301,1,353,378,1,363,473,1,408,303,1,339,323,1,307,424,1,361,74,1,384,73,1,346,83,1,395,79,1,258.988,369.979,0,270.978,379.902,0,305,431,1,363,477,1,357,477,1,370,477,1
378,86,1,370,151,1,324,152,1,308,227,1,300,248,1,418,151,1,435,258,1,365,278,1,382,302,1,353,303,1,354,378,1,363,471,1,409,303,1,340,323,1,307,424,1,362,74,1,385,73,1,347,83,1,396,79,1,258.991,369.973,0,270.991,379.898,0,305,431,1,363,477,1,357,477,1,370,477,1
