"x0","y0","c0","x1","y1","c1","x2","y2","c2","x3","y3","c3","x4","y4","c4","x5","y5","c5","x6","y6","c6","x7","y7","c7","x8","y8","c8","x9","y9","c9","x10","y10","c10","x11","y11","c11","x12","y12","c12","x13","y13","c13","x14","y14","c14","x15","y15","c15","x16","y16","c16","x17","y17","c17","x18","y18","c18","x19","y19","c19","x20","y20","c20","x21","y21","c21","x22","y22","c22","x23","y23","c23","x24","y24","c24"
405.024,119.2,0.892889,402.426,183.191,0.870055,364.576,183.227,0.747298,355.415,248.454,0.582414,369.76,299.316,0.42591,442.8,183.142,0.807384,450.698,261.478,0.7235,401.097,296.703,0.857208,395.895,318.927,0.532036,371.075,314.992,0.527464,348.858,328.002,0.786317,371.036,453.341,0.652133,421.973,324.108,0.523646,341.118,369.745,0.681568,329.322,465.016,0.464245,394.575,108.857,0.902281,412.884,108.804,0.950309,381.607,116.654,0.678284,423.295,114.021,0.505362,325.416,476.811,0.0868187,328.038,476.827,0.114404,326.726,476.793,0.215862,360.671,465.037,0.100089,0,0,0,372.38,462.403,0.470871
405,119,1,403,183,1,365,183,1,356,248,1,361,285,1,443,183,1,451,261,1,401,296,1,396,319,1,371,315,1,349,328,1,371,453,1,422,324,1,341,370,1,329,465,1,394,109,1,413,109,1,382,117,1,423,114,1,325,477,1,328,477,1,327,477,1,361,465,1,0,0,0,372,462,1
404,119,1,404,183,1,366,183,1,356,251,1,372,305,1,444,183,1,451,261,1,401,295,1,396,318,1,371,315,1,349,328,1,371,453,1,422,324,1,341,370,1,329,465,1,393,109,1,413,109,1,383,117,1,423,113,1,325,477,1,328,477,1,327,477,1,361,465,1,0,0,0,372,462,1
403,119,1,405,183,1,367,183,1,358,253,1,373,305,1,445,183,1,451,261,1,401,294,1,398,316,1,372,313,1,349,329,1,371,454,1,424,321,1,341,371,1,329,465,1,393,109,1,413,109,1,384,117,1,423,112,1,325,477,1,328,477,1,327,477,1,358,477,1,361,477,1,372,462,1
403,119,1,406,183,1,368,183,1,359,252,1,373,305,1,446,183,1,451,261,1,401,293,1,400,313,1,374,311,1,349,329,1,372,454,1,425,318,1,341,371,1,329,465,1,393,109,1,413,109,1,384,117,1,423,112,1,325,477,1,328,477,1,327,477,1,358,477,1,361,477,1,373,462,1
403,119,1,407,183,1,369,183,1,360,255,1,376,307,1,447,183,1,451,261,1,401,292,1,400,312,1,374,311,1,349,329,1,373,457,1,424,314,1,341,371,1,329,465,1,393,109,1,413,109,1,385,117,1,423,112,1,325,477,1,328,477,1,327,477,1,362,477,1,365,477,1,376,464,1
403,119,1,408,183,1,370,183,1,360,255,1,376,306,1,448,183,1,451,261,1,401,291,1,400,311,1,374,311,1,349,329,1,374,457,1,424,314,1,342,371,1,329,465,1,394,109,1,413,109,1,386,117,1,423,112,1,325,477,1,326,477,1,327,477,1,365,477,1,365,477,1,377,464,1
403,119,1,408,183,1,370,183,1,360,255,1,376,306,1,448,183,1,451,261,1,401,291,1,400,311,1,374,311,1,349,329,1,374,457,1,424,314,1,342,371,1,329,465,1,394,109,1,413,109,1,386,117,1,423,112,1,325,477,1,326.031,477.105,0,327,473,1,371,460,1,365.169,477.125,0,377,464,1
404,119,1,409,183,1,371,182,1,360,254,1,375,305,1,447,185,1,451,261,1,401,289,1,397,320,1,372,313,1,349,329,1,375,457,1,422,325,1,343,371,1,329,465,1,395,109,1,414,109,1,387,117,1,424,112,1,319,465,1,326,477,1,326,471,1,367,477,1,366,477,1,378,464,1
404,119,1,409,183,1,371,182,1,360,254,1,373,304,1,447,185,1,451,261,1,401,288,1,397,320,1,372,313,1,349,329,1,375,457,1,423,323,1,343,371,1,329,465,1,395,109,1,414,109,1,387,117,1,424,112,1,321,477,1,326,477,1,325,474,1,367,477,1,369,477,1,378,464,1
405,119,1,410,183,1,372,181,1,360,253,1,372,303,1,448,185,1,452,260,1,401,286,1,394,321,1,370,314,1,349,329,1,376,457,1,421,326,1,343,371,1,329,465,1,396,109,1,415,109,1,388,117,1,428,112,1,321,477,1,326,477,1,325,474,1,368,477,1,369.879,477.186,0,379,464,1
405,119,1,410,183,1,372,181,1,360,253,1,372,303,1,448,185,1,452,260,1,401,285,1,394,321,1,370,314,1,349,329,1,376,457,1,421,326,1,343,371,1,329,465,1,396,109,1,415,109,1,388,117,1,429,112,1,321,477,1,326,477,1,324,470,1,371,466,1,370.215,477.233,0,379,464,1
406,119,1,411,183,1,376,181,1,360,253,1,371,302,1,449,185,1,453,259,1,401,283,1,393,321,1,369,313,1,349,328,1,377,457,1,420,326,1,343,371,1,329,465,1,397,109,1,416,109,1,389,117,1,430,112,1,321,477,1,326,477,1,324,470,1,372,469,1,370.75,477.22,0,380,464,1
407,119,1,412,183,1,377,181,1,360,253,1,373,304,1,450,185,1,454,258,1,401,281,1,393,321,1,368,312,1,349,327,1,378,457,1,421,330,1,343,371,1,329,465,1,398,109,1,417,109,1,390,117,1,431,112,1,321,477,1,326,477,1,324,474,1,372,473,1,371.394,476.958,0,381,464,1
408,119,1,413,183,1,378,181,1,360,253,1,372,303,1,451,185,1,455,261,1,401,279,1,393,324,1,369,315,1,349,326,1,378,457,1,421,331,1,342,371,1,329,465,1,399,109,1,418,109,1,391,117,1,432,112,1,321,477,1,326,477,1,322,476,1,370,475,1,372,477,1,381,464,1
407,120,1,413,184,1,379,182,1,360,254,1,372,305,1,452,186,1,455,261,1,401,277,1,393,324,1,369,314,1,349,325,1,378,456,1,421,332,1,341,371,1,329,465,1,400,110,1,419,110,1,392,118,1,433,112,1,321,477,1,326,477,1,322,476,1,372,464,1,371.914,476.653,0,381,464,1
408,121,1,413,185,1,379,183,1,360,255,1,362,293,1,452,187,1,455,261,1,401,275,1,393,324,1,369,317,1,348,324,1,377,455,1,421,333,1,340,371,1,327,477,1,401,111,1,418,110,1,393,119,1,434,113,1,321,477.003,0,326,477.002,0,322,476,1,371,463,1,370.929,476.041,0,380,463,1
409,122,1,413,186,1,379,184,1,360,255,1,370,301,1,452,188,1,455,262,1,401,273,1,393,324,1,368,317,1,348,324,1,375,454,1,421,333,1,339,371,1,328,464,1,402,112,1,419,111,1,394,120,1,435,114,1,321,477,1,326,477,1,325,474,1,370,462,1,372,465,1,378,462,1
409,123,1,413,187,1,379,184,1,360,255,1,372,304,1,452,189,1,454,262,1,401,271,1,395,326,1,368,317,1,347,325,1,373,454,1,421,333,1,338,371,1,328,464,1,402,113,1,419,112,1,394,121,1,436,114,1,321,477,1,326,477,1,325,474,1,368,460,1,369.946,464.809,0,376,462,1
409,123,1,413,187,1,379,184,1,360,255,1,372,303,1,452,190,1,453,262,1,401,268,1,395,326,1,368,317,1,347,326,1,371,454,1,421,333,1,338,371,1,328,464,1,402,113,1,419,112,1,394,121,1,436,114,1,319,464,1,326.001,477,0,335,465,1,364,462,1,368,465,1,374,462,1
409,123,1,413,187,1,379,184,1,360,255,1,372,303,1,452,190,1,453,262,1,401,267,1,395,326,1,368,317,1,347,326,1,370,454,1,421,333,1,338,371,1,328,464,1,402,113,1,419,112,1,394,118,1,436,114,1,319,464,1,325.961,476.995,0,335,465,1,361,464,1,364,465,1,374,460,1
409,124,1,412,187,1,378,184,1,359,254,1,372,303,1,451,190,1,452,261,1,405,264,1,396,323,1,368,317,1,347,326,1,367,455,1,422,329,1,337,371,1,328,464,1,402,114,1,419,113,1,394,119,1,436,115,1,323,477,1,326,477,1,332,467,1,359,465,1,362,466,1,371,461,1
