"","File","ges.freq","descr.dur.sec","ges.rate.min","PoT","stroke.freq","hold.freq","prep.freq","retr.freq","stroke.rate.min","hold.rate.min","prep.rate.min","retr.rate.min","item","gender","language","condition","run","subject"
"1","antwerp1a_run1","1","62","0.967741935483871","0.0225806451612903","1","0","0","1","0.967741935483871","0","0","0.967741935483871","gym","f","dutch","ns","run1","AN1a"
"2","antwerp1a_run2","13","46.68","16.7095115681234","0.539845758354756","13","2","2","1","16.7095115681234","2.5706940874036","2.5706940874036","1.2853470437018","lake","f","dutch","ns","run2","AN1a"
"3","antwerp1b_run1","22","53.48","24.682124158564","0.827973074046372","26","3","3","4","29.1697830964847","3.36574420344054","3.36574420344054","4.48765893792072","forest","f","dutch","ns","run1","AN1b"
"4","antwerp1b_run2","18","67.32","16.0427807486631","0.854426619132502","28","6","15","14","24.9554367201426","5.3475935828877","13.3689839572193","12.4777183600713","playground","f","dutch","ns","run2","AN1b"
"7","antwerp2b_run1","6","88.4","4.07239819004525","0.347963800904977","7","2","4","5","4.75113122171946","1.35746606334842","2.71493212669683","3.39366515837104","forest","m","dutch","ns","run1","AN2b"
"8","antwerp2b_run2","6","53","6.79245283018868","0.455094339622642","8","1","3","2","9.05660377358491","1.13207547169811","3.39622641509434","2.26415094339623","playground","m","dutch","ns","run2","AN2b"
"9","antwerp3a_run1","6","43.88","8.20419325432999","0.416590701914312","10","2","4","3","13.6736554238833","2.73473108477666","5.46946216955333","4.102096627165","gym","m","dutch","ns","run1","AN3a"
"10","antwerp3a_run2","11","58.04","11.3714679531358","0.851137146795314","12","2","10","6","12.4052377670572","2.06753962784287","10.3376981392143","6.2026188835286","lake","m","dutch","ns","run2","AN3a"
"11","antwerp3b_run1","13","62.52","12.4760076775432","0.813819577735125","23","8","13","7","22.0729366602687","7.67754318618042","12.4760076775432","6.71785028790787","forest","f","dutch","ns","run1","AN3b"
"12","antwerp3b_run2","15","54.48","16.5198237885463","0.819383259911894","24","6","10","7","26.431718061674","6.6079295154185","11.0132158590308","7.70925110132159","playground","f","dutch","ns","run2","AN3b"
"13","antwerp4a_run1","6","46.48","7.74526678141136","0.136833046471601","10","0","5","8","12.9087779690189","0","6.45438898450947","10.3270223752151","gym","m","dutch","ns","run1","AN4a"
"14","antwerp4a_run2","11","81.72","8.07635829662262","0.275575134605972","15","2","8","12","11.0132158590308","1.46842878120411","5.87371512481645","8.81057268722467","lake","m","dutch","ns","run2","AN4a"
"15","antwerp4b_run1","2","64.2","1.86915887850467","0.0417445482866044","3","0","1","1","2.80373831775701","0","0.934579439252336","0.934579439252336","forest","m","dutch","ns","run1","AN4b"
"16","antwerp4b_run2","1","63.2","0.949367088607595","0.00759493670886076","2","0","0","0","1.89873417721519","0","0","0","playground","m","dutch","ns","run2","AN4b"
"17","antwerp5a_run1","17","79.92","12.7627627627628","0.61011011011011","31","13","13","13","23.2732732732733","9.75975975975976","9.75975975975976","9.75975975975976","gym","f","dutch","ns","run1","AN5a"
"18","antwerp5a_run2","25","91.96","16.3114397564158","0.675946063505872","46","20","13","12","30.0130491518051","13.0491518051327","8.48194867333623","7.8294910830796","lake","f","dutch","ns","run2","AN5a"
"19","antwerp5b_run1","19","72.92","15.6335710367526","0.624245748765771","29","5","6","11","23.861766319254","4.11409764125069","4.93691716950082","9.05101481075151","forest","f","dutch","ns","run1","AN5b"
