"x0","y0","c0","x1","y1","c1","x2","y2","c2","x3","y3","c3","x4","y4","c4","x5","y5","c5","x6","y6","c6","x7","y7","c7","x8","y8","c8","x9","y9","c9","x10","y10","c10","x11","y11","c11","x12","y12","c12","x13","y13","c13","x14","y14","c14","x15","y15","c15","x16","y16","c16","x17","y17","c17","x18","y18","c18","x19","y19","c19","x20","y20","c20","x21","y21","c21","x22","y22","c22","x23","y23","c23","x24","y24","c24"
446.769,141.455,0.88829,427.212,204.126,0.773149,391.977,210.591,0.731185,384.163,307.125,0.66997,422.007,348.942,0.881541,463.678,202.762,0.814933,471.536,287.611,0.651125,480.718,369.818,0.77569,435.057,351.55,0.640161,410.237,359.372,0.615128,451.942,405.011,0.79028,442.867,476.82,0.106985,463.767,348.883,0.645514,535.464,388.055,0.776479,535.508,476.805,0.271993,436.345,131.019,0.897718,453.251,131.021,0.900096,414.158,131.022,0.915207,0,0,0,0,0,0,0,0,0,535.528,476.827,0.121048,0,0,0,0,0,0,0,0,0
447,141,1,427,204,1,392,211,1,384,307,1,422,349,1,464,203,1,472,288,1,481,370,1,435,352,1,410,359,1,452,405,1,443,477,1,464,349,1,535,388,1,536,477,1,436,131,1,453,131,1,414,131,1,0,0,0,0,0,0,0,0,0,536,477,1,0,0,0,0,0,0,0,0,0
444,140,1,425,203,1,390,211,1,383,306,1,421,349,1,462,202,1,471,287,1,478,370,1,434,352,1,409,359,1,450,405,1,442,477,1,463,349,1,532,387,1,535,477,1,433,130,1,450,130,1,411,131,1,0,0,0,0,0,0,0,0,0,535,477,1,0,0,0,0,0,0,0,0,0
441,139,1,423,202,1,389,211,1,382,305,1,420,349,1,461,201,1,470,286,1,475,370,1,433,352,1,408,359,1,449,404,1,442,477,1,462,349,1,530,386,1,531,477,1,430,129,1,447,129,1,409,131,1,0,0,0,0,0,0,0,0,0,531,477,1,0,0,0,0,0,0,0,0,0
438,138,1,422,201,1,388,211,1,381,305,1,420,348,1,460,200,1,469,285,1,472,370,1,433,351,1,408,358,1,448,404,1,443,477,1,462,349,1,528,384,1,530,477,1,427,128,1,444,128,1,407,131,1,0,0,0,0,0,0,0,0,0,530,477,1,0,0,0,0,0,0,0,0,0
436,138,1,421,201,1,387,211,1,380,305,1,420,347,1,459,200,1,468,284,1,469,370,1,433,350,1,408,357,1,448,403,1,444,477,1,462,349,1,526,382,1,529,477,1,425,128,1,442,127,1,405,131,1,0,0,0,0,0,0,0,0,0,529,477,1,0,0,0,0,0,0,0,0,0
432,138,1,420,201,1,386,211,1,379,306,1,420,346,1,458,200,1,467,283,1,467,365,1,433,349,1,408,356,1,450,401,1,446,477,1,462,347,1,522,380,1,528,478,1,421,128,1,438,127,1,402,132,1,0,0,0,521,477,1,0,0,0,528,478,1,0,0,0,0,0,0,443,477,1
430,139,1,420,201,1,386,211,1,379,306,1,420,346,1,458,200,1,467,283,1,466,364,1,433,348,1,408,356,1,450,401,1,446,477,1,462,346,1,520,380,1,517,477,1,419,129,1,436,127,1,401,133,1,442,131,1,518.692,477.379,0,0,0,0,523,478,1,0,0,0,0,0,0,443,477,1
429,140,1,420,201,1,386,211,1,379,306,1,420,346,1,458,200,1,467,283,1,466,364,1,433,348,1,408,356,1,449,401,1,446,477,1,462,346,1,518,381,1,514,477,1,417,130,1,435,128,1,400,134,1,441,132,1,516.304,477.733,0,0,0,0,520,478,1,0,0,0,0,0,0,443,477,1
426,141,1,420,201,1,386,211,1,379,306,1,419,346,1,458,200,1,468,283,1,465,364,1,432,348,1,407,356,1,450,399,1,445,477,1,461,346,1,516,383,1,512,477,1,416,131,1,434,129,1,399,135,1,440,133,1,514.51,477.78,0,0,0,0,519,478,1,0,0,0,0,0,0,442,477,1
425,142,1,420,201,1,386,211,1,379,306,1,418,346,1,459,200,1,469,284,1,464,365,1,431,348,1,406,356,1,448,400,1,443,477,1,460,347,1,514,386,1,511,477,1,415,132,1,433,130,1,398,136,1,438,132,1,513.436,477.946,0,0,0,0,518,478,1,0,0,0,0,0,0,440,477,1
425,143,1,420,201,1,386,211,1,379,306,1,417,346,1,460,200,1,468,283,1,462,366,1,429,349,1,404,357,1,445,401,1,441,477,1,459,348,1,513,389,1,510,477,1,414,133,1,430,131,1,398,137,1,437,131,1,512.299,477.978,0,0,0,0,517,478,1,0,0,0,0,0,0,438,477,1
425,145,1,420,202,1,386,211,1,379,306,1,415,347,1,461,200,1,469,284,1,460,368,1,430,350,1,403,357,1,442,402,1,438,477,1,457,348,1,512,390,1,509,477,1,414,135,1,430,133,1,398,138,1,437,133,1,511.204,477.995,0,0,0,0,516,478,1,0,0,0,0,0,0,435,477,1
425,147,1,420,203,1,386,212,1,378,306,1,413,348,1,462,200,1,470,285,1,458,373,1,428,351,1,402,356,1,439,402,1,435,477,1,456,347,1,511,391,1,508,477,1,414,137,1,430,135,1,398,140,1,437,135,1,510.139,477.87,0,0,0,0,515,478,1,0,0,0,0,0,0,432,477,1
426,149,1,420,204,1,386,212,1,377,306,1,409,349,1,463,201,1,471,286,1,456,375,1,429,349,1,408,349,1,434,404,1,432,477,1,455,344,1,510,392,1,507,477,1,415,139,1,431,137,1,399,142,1,437,134,1,509.459,477.867,0,0,0,0,511,478,1,0,0,0,0,0,0,430,476,1
427,151,1,421,205,1,386,212,1,377,306,1,406,347,1,464,202,1,470,286,1,454,376,1,430,346,1,406,349,1,432,407,1,429,477,1,455,343,1,509,393,1,506,477,1,416,141,1,432,139,1,400,144,1,439,133,1,508.596,477.791,0,0,0,0,510,478,1,0,0,0,0,0,0,428,475,1
426,154,1,422,206,1,387,212,1,378,302,1,404,347,1,466,203,1,471,287,1,452,378,1,431,344,1,407,346,1,428,410,1,427,476,1,456,341,1,508,394,1,505,477,1,417,143,1,433,141,1,401,146,1,440,135,1,507.532,477.789,0,0,0,0,509,478,1,0,0,0,0,0,0,425.591,474.384,0
428,155,1,423,207,1,388,212,1,380,300,1,402,345,1,467,203,1,472,285,1,450,379,1,432,342,1,409,344,1,425,410,1,424,475,1,458,340,1,507,396,1,504,477,1,416,147,1,434,143,1,402,148,1,441,137,1,506.514,477.626,0,0,0,0,508,478,1,0,0,0,0,0,0,422.923,473.555,0
430,156,1,424,207,1,389,212,1,381,300,1,400,345,1,469,203,1,473,286,1,451,378,1,431,342,1,410,343,1,422,410,1,421,474,1,458,341,1,506,398,1,503,477,1,417,148,1,436,144,1,403,149,1,443,138,1,505.323,477.515,0,0,0,0,507,478,1,0,0,0,0,0,0,420.011,472.566,0
432,156,1,425,207,1,390,212,1,382,299,1,398,344,1,469,203,1,474,287,1,452,377,1,433,342,1,409,342,1,419,414,1,416,475,1,458,342,1,505,400,1,502,477,1,419,149,1,438,144,1,404,150,1,445,138,1,503.997,477.423,0,0,0,0,506,478,1,0,0,0,0,0,0,417.011,471.408,0
434,156,1,426,207,1,391,212,1,383,298,1,396,342,1,469,203,1,475,288,1,450,377,1,435,342,1,411,342,1,415,415,1,412,473,1,461,342,1,503,402,1,503,477,1,421,149,1,440,144,1,405,150,1,447,138,1,502.277,477.286,0,0,0,0,504,478,1,0,0,0,0,0,0,412.834,469.589,0
434,158,1,427,207,1,392,211,1,384,297,1,394,340,1,470,203,1,476,289,1,446,379,1,436,340,1,410,341,1,405,402,1,409,474,1,462,341,1,501,404,1,501,477,1,423,149,1,442,144,1,406,150,1,449,138,1,500.046,477.137,0,0,0,0,502,478,1,0,0,0,0,0,0,414,477,1
436,158,1,428,207,1,393,210,1,385,296,1,392,338,1,471,204,1,476,287,1,444,379,1,435,340,1,411,340,1,400,400,1,404,474,1,461,342,1,497,409,1,498,477,1,424,149,1,444,144,1,407,149,1,451,138,1,497.46,477.061,0,0,0,0,499,478,1,0,0,0,0,0,0,408,474,1
437,158,1,429,207,1,394,209,1,386,294,1,390,336,1,472,205,1,476,288,1,441,379,1,434,340,1,409,340,1,395,400,1,402,475,1,460,343,1,494,411,1,495,477,1,425,149,1,446,144,1,409,149,1,453,138,1,494.646,477.032,0,0,0,0,496,478,1,0,0,0,0,0,0,410,477,1
439,159,1,430,207,1,395,208,1,387,292,1,389,335,1,473,206,1,476,288,1,464,345,1,432,340,1,410,342,1,410,448,1,495,477,1,458,344,1,490,413,1,492,477,1,426,150,1,446,145,1,411,149,1,455,139,1,491.591,476.944,0,0,0,0,496,478,1,499,477,1,0,0,0,505,465,1
439,159,1,430,207,1,395,208,1,387,292,1,389,335,1,473,206,1,476,288,1,464,345,1,432,340,1,410,342,1,410,448,1,495,477,1,458,344,1,490,413,1,492,477,1,426,150,1,446,145,1,411,149,1,455,139,1,491.575,476.937,0,0,0,0,496,478,1,499,477,1,504,477,1,504.989,465.002,0
440,160,1,431,208,1,396,207,1,388,288,1,388,334,1,474,207,1,476,289,1,464,344,1,432,343,1,408,343,1,385,395,1,401,440,1,456,345,1,486,418,1,489,477,1,427,152,1,447,147,1,412,150,1,457,141,1,488.28,476.935,0,0,0,0,492,478,1,495.512,476.987,0,500.607,477.099,0,501.611,464.692,0
441,163,1,433,207,1,397,206,1,389,286,1,388,336,1,474,209,1,476,288,1,431,389,1,430,344,1,408,346,1,376,406,1,395.454,439.756,0,457,348,1,482,420,1,486,477,1,428,155,1,448,151,1,413,152,1,457,143,1,485.162,476.918,0,0,0,0,489,478,1,492.33,477.056,0,497.507,477.21,0,498.315,464.35,0
439,169,1,433,208,1,398,205,1,389,284,1,386,336,1,474,211,1,476,287,1,456,349,1,430,347,1,405,348,1,397,443,1,479,466,1,457,349,1,479,425,1,483,477,1,429,158,1,449,156,1,414,152,1,458,145,1,479.561,476.424,0,0,0,0,486,478,1,486,477,1,490,477,1,494.934,464.027,0
437,174,1,433,209,1,398,204,1,389,282,1,384,335,1,474,213,1,476,286,1,462,341,1,428,347,1,402,348,1,394,441,1,476,463,1,455,349,1,476,429,1,479,477,1,429,160,1,447,160,1,414,152,1,458,147,1,476.414,476.504,0,0,0,0,482.492,477.973,0,461,477,1,461,477,1,489,462,1
436,176,1,433,210,1,398,203,1,388,282,1,382,335,1,473,215,1,475,285,1,453,354,1,427,348,1,401,348,1,390,441,1,474,464,1,453,351,1,473,429,1,476,477,1,426,162,1,447,162,1,414,153,1,459,151,1,475.125,477.031,0,0,0,0,483,478,1,460,477,1,460,477,1,486,462,1
423,177,1,433,208,1,399,200,1,387,278,1,378,336,1,471,218,1,468,293,1,412,397,1,434,342,1,410,340,1,358,387,1,469.175,464.941,0,457,345,1,467,432,1,472,477,1,423,162,1,435,169,1,413,156,1,458,163,1,470.253,477.768,0,0,0,0,479,478,1,455.073,477.199,0,455.073,477.199,0,481.475,461.732,0
421,177,1,432,208,1,399,199,1,386,279,1,375,337,1,470,219,1,465,302,1,409,400,1,432,342,1,410,339,1,356,386,1,467.158,465.341,0,455,346,1,465,433,1,470,477,1,418,162,1,432,168,1,411,155,1,455,163,1,468.077,478.118,0,0,0,0,477.086,478.048,0,452.944,477.36,0,452.944,477.36,0,479.578,461.631,0
419,177,1,431,208,1,400,197,1,386,277,1,374,337,1,469,220,1,465,305,1,406,403,1,431,342,1,410,339,1,352,387,1,465.33,465.85,0,457,347,1,463,434,1,468.269,477.338,0,417,162,1,430,167,1,409.486,153.88,0,454,163,1,466.222,478.557,0,0,0,0,475.441,478.212,0,451.113,477.55,0,451.113,477.55,0,477.859,461.602,0
416,176,1,430,207,1,400,197,1,386,276,1,373,337,1,468,220,1,465,301,1,417,392,1,430,342,1,410,339,1,350,387,1,463.577,466.121,0,456,348,1,462,435,1,466.408,477.409,0,416,162,1,429,166,1,408.431,153.037,0,453,162,1,464.317,478.727,0,0,0,0,473.775,478.301,0,449.097,477.736,0,449.097,477.736,0,476.334,461.603,0
415,176,1,429,206,1,400,197,1,386,276,1,372,337,1,467,220,1,465,301,1,416,396,1,432,342,1,410,339,1,349,387,1,461.457,466.47,0,458,348,1,459,436,1,464.29,477.65,0,415,162,1,428,165,1,407,150,1,452,161,1,462.161,478.992,0,0,0,0,472.144,478.433,0,446.86,477.803,0,446.86,477.803,0,474.599,461.594,0
414,176,1,428,205,1,400,197,1,386,276,1,372,337,1,466,220,1,465,301,1,415,399,1,433,344,1,410,339,1,348,387,1,459.158,466.831,0,457,349,1,457,438,1,462.195,477.823,0,414,162,1,427,164,1,406.303,148.917,0,451,161,1,459.877,479.17,0,0,0,0,470.018,478.536,0,444.325,477.891,0,444.325,477.891,0,472.581,461.548,0
413,175,1,430,206,1,400,197,1,386,276,1,372,337,1,465,220,1,462,305,1,415,399,1,432,344,1,410,339,1,349,384,1,456.843,467.158,0,459,350,1,454,438,1,460.219,478.062,0,413,161,1,426,163,1,404,146,1,450,161,1,457.619,479.368,0,0,0,0,468.062,478.674,0,441.855,477.84,0,441.855,477.84,0,470.458,461.639,0
412,175,1,429,205,1,400,197,1,386,276,1,372,337,1,464,220,1,461,301,1,415,398,1,431,344,1,410,339,1,348,384,1,454.417,467.427,0,458,350,1,452,439,1,458.071,478.204,0,412,158,1,425,162,1,403.425,145.035,0,449,161,1,455.208,479.526,0,0,0,0,466.022,478.803,0,439.461,477.675,0,439.461,477.675,0,468.418,461.798,0
412,173,1,429,204,1,400,197,1,386,276,1,372,337,1,464,220,1,460,301,1,414,399,1,432,346,1,410,339,1,347,384,1,451.901,467.712,0,457,350,1,451,444,1,455.853,478.32,0,412,157,1,424,161,1,403.062,144.094,0,448,161,1,452.595,479.591,0,0,0,0,463.82,478.85,0,437.021,477.313,0,437.021,477.313,0,466.367,462.001,0
412,173,1,431,206,1,400,197,1,386,276,1,372,337,1,464,220,1,459,301,1,413,399,1,431,346,1,410,339,1,346,383,1,449.591,468.044,0,456,350,1,449,445,1,453.998,478.528,0,412,157,1,424,161,1,402.795,143.623,0,448,161,1,449.948,479.704,0,0,0,0,461.96,478.983,0,434.791,476.872,0,434.791,476.872,0,464.362,462.25,0
413,171,1,431,205,1,400,197,1,386,276,1,372,337,1,464,220,1,458,301,1,412,399,1,430,346,1,410,339,1,345,383,1,447.488,468.506,0,456,350,1,447,447,1,452.408,478.758,0,412,156,1,424,160,1,403.105,143.06,0,448,161,1,447.587,479.844,0,0,0,0,460.338,479.156,0,432.627,476.321,0,432.627,476.321,0,462.6,462.627,0
414,171,1,431,204,1,400,196,1,386,276,1,372,337,1,464,220,1,457,301,1,411,399,1,432,348,1,410,339,1,347,383,1,445.434,469.215,0,458,351,1,444,451,1,535,466,1,413,155,1,425,159,1,404,142,1,448,161,1,535,477,1,536,477,1,539,461,1,430.43,475.723,0,430.43,475.723,0,461.193,463.121,0
414,168,1,431,203,1,400,195,1,386,276,1,372,337,1,464,220,1,456,300,1,432,365,1,431,348,1,411,342,1,346,383,1,443.367,470.013,0,457,351,1,442,452,1,535,466,1,414,154,1,426,158,1,406,141,1,449,161,1,535,477,1,536,477,1,539,461,1,428.203,475.132,0,428.203,475.132,0,460.164,463.699,0
415,167,1,432,205,1,400,194,1,386,276,1,372,337,1,464,220,1,455,300,1,413,392,1,430,348,1,411,342,1,345,383,1,441.93,470.683,0,456,351,1,440,453,1,535,466,1,415,153,1,427,157,1,407.362,139.877,0,450,161,1,535,477,1,536,477,1,539,461,1,426.525,474.682,0,426.525,474.682,0,459.625,464.243,0
416,166,1,432,204,1,401,193,1,386,275,1,371,337,1,464,220,1,455,300,1,412,392,1,432,349,1,411,342,1,344,383,1,440.688,471.197,0,455,351,1,438,454,1,533,466,1,416,152,1,428,156,1,408.459,138.642,0,451,161,1,534.972,476.961,0,535.973,476.96,0,539,461,1,424.893,474.233,0,424.893,474.233,0,459.103,464.624,0
417,165,1,432,203,1,402,193,1,386,274,1,370,335,1,464,220,1,455,298,1,431,362,1,432,348,1,411,342,1,343,383,1,439.819,471.509,0,455,351,1,437,454,1,533,466,1,417,151,1,429,155,1,409.225,137.714,0,452,158,1,534.862,476.972,0,535.862,476.976,0,539,461,1,423.704,473.896,0,423.704,473.896,0,458.719,464.882,0
418,165,1,432,202,1,403,193,1,386,274,1,370,335,1,464,220,1,455,297,1,431,361,1,432,348,1,411,342,1,343,383,1,439.237,471.619,0,455,351,1,436,454,1,531,467,1,416,149,1,430,154,1,409.95,136.819,0,452,158,1,534.965,476.965,0,535.964,476.967,0,537,463,1,422.921,473.669,0,422.921,473.669,0,458.514,464.912,0
419,165,1,432,202,1,403,193,1,386,274,1,370,335,1,464,220,1,455,296,1,431,360,1,432,347,1,411,342,1,343,383,1,368,477,1,455,351,1,436,454,1,531,467,1,417,148,1,431,153,1,410.656,136.071,0,452,158,1,534.867,476.991,0,535.867,476.995,0,537,463,1,422.636,473.629,0,422.636,473.629,0,458.423,464.941,0
419,165,1,432,202,1,403,193,1,386,274,1,370,335,1,464,220,1,455,296,1,431,360,1,432,347,1,411,342,1,343,383,1,368,477,1,455,351,1,436,454,1,531,467,1,417,148,1,431,153,1,410.656,136.071,0,452,158,1,534.867,476.991,0,535.867,476.995,0,537,463,1,422.636,473.629,0,422.636,473.629,0,458.423,464.941,0
420,165,1,432,202,1,403,194,1,386,275,1,370,335,1,464,220,1,455,295,1,414,391,1,432,346,1,411,342,1,343,383,1,368.212,477.178,0,455,351,1,436,454,1,531,467,1,418,148,1,431,153,1,411.316,135.761,0,452,158,1,534.964,476.993,0,535.963,476.998,0,537,463,1,422.798,473.634,0,422.798,473.634,0,458.469,464.904,0
421,165,1,432,205,1,403,195,1,389,277,1,370,335,1,464,220,1,456,294,1,415,390,1,432,346,1,411,342,1,343,383,1,368.449,477.45,0,455,351,1,437,454,1,531,467,1,417,146,1,431,152,1,411.89,135.172,0,452,158,1,535,477,1,536,477,1,539,462,1,423.705,473.785,0,423.705,473.785,0,458.684,464.713,0
421,165,1,432,205,1,403,195,1,389,277,1,371,335,1,464,219,1,457,293,1,432,359,1,433,346,1,411,342,1,343,383,1,368.676,477.876,0,458,351,1,438,453,1,531,467,1,417,145,1,431,151,1,412.292,134.677,0,452,158,1,535,477,1,536,477,1,539,462,1,424.891,474.051,0,424.891,474.051,0,459.087,464.385,0
