"","File","ges.freq","descr.dur.sec","ges.rate.min","PoT","stroke.freq","hold.freq","prep.freq","retr.freq","stroke.rate.min","hold.rate.min","prep.rate.min","retr.rate.min","item","gender","language","condition","run","subject"
"1","antwerp1a_run1","1","62","0.967741935483871","0.0225806451612903","1","1","1","1","0.967741935483871","0.967741935483871","0.967741935483871","0.967741935483871","gym","f","dutch","ns","run1","AN1a"
"2","antwerp1a_run2","13","46.68","16.7095115681234","0.539845758354756","13","15","24","25","16.7095115681234","19.280205655527","30.8483290488432","32.133676092545","lake","f","dutch","ns","run2","AN1a"
"3","antwerp1b_run1","22","53.48","24.682124158564","0.827973074046372","34","57","33","34","38.1451009723261","63.9491398653702","37.0231862378459","38.1451009723261","forest","f","dutch","ns","run1","AN1b"
"4","antwerp1b_run2","18","67.32","16.0427807486631","0.854426619132502","34","37","47","45","30.3030303030303","32.9768270944742","41.8894830659537","40.1069518716578","playground","f","dutch","ns","run2","AN1b"
"7","antwerp2b_run1","6","88.4","4.07239819004525","0.347963800904977","7","9","10","9","4.75113122171946","6.10859728506787","6.78733031674208","6.10859728506787","forest","m","dutch","ns","run1","AN2b"
"8","antwerp2b_run2","6","53","6.79245283018868","0.455094339622642","8","9","13","14","9.05660377358491","10.188679245283","14.7169811320755","15.8490566037736","playground","m","dutch","ns","run2","AN2b"
"9","antwerp3a_run1","6","43.88","8.20419325432999","0.416590701914312","10","18","16","13","13.6736554238833","24.61257976299","21.8778486782133","17.7757520510483","gym","m","dutch","ns","run1","AN3a"
"10","antwerp3a_run2","11","58.04","11.3714679531358","0.851137146795314","22","19","24","23","22.7429359062715","19.6416264645072","24.8104755341144","23.776705720193","lake","m","dutch","ns","run2","AN3a"
"11","antwerp3b_run1","13","62.52","12.4760076775432","0.813819577735125","27","42","38","32","25.9117082533589","40.3071017274472","36.468330134357","30.7101727447217","forest","f","dutch","ns","run1","AN3b"
"12","antwerp3b_run2","15","54.48","16.5198237885463","0.819383259911894","32","50","38","35","35.2422907488987","55.0660792951542","41.8502202643172","38.5462555066079","playground","f","dutch","ns","run2","AN3b"
"13","antwerp4a_run1","6","46.48","7.74526678141136","0.136833046471601","10","10","15","12","12.9087779690189","12.9087779690189","19.3631669535284","15.4905335628227","gym","m","dutch","ns","run1","AN4a"
"14","antwerp4a_run2","11","81.72","8.07635829662262","0.275575134605972","19","19","26","22","13.9500734214391","13.9500734214391","19.0895741556535","16.1527165932452","lake","m","dutch","ns","run2","AN4a"
"15","antwerp4b_run1","2","64.2","1.86915887850467","0.0417445482866044","3","3","4","4","2.80373831775701","2.80373831775701","3.73831775700935","3.73831775700935","forest","m","dutch","ns","run1","AN4b"
"16","antwerp4b_run2","1","63.2","0.949367088607595","0.00759493670886076","2","2","2","2","1.89873417721519","1.89873417721519","1.89873417721519","1.89873417721519","playground","m","dutch","ns","run2","AN4b"
"17","antwerp5a_run1","17","79.92","12.7627627627628","0.61011011011011","33","45","51","51","24.7747747747748","33.7837837837838","38.2882882882883","38.2882882882883","gym","f","dutch","ns","run1","AN5a"
"18","antwerp5a_run2","25","91.96","16.3114397564158","0.675946063505872","46","72","59","58","30.0130491518051","46.9769464984776","38.4949978251414","37.8425402348847","lake","f","dutch","ns","run2","AN5a"
"19","antwerp5b_run1","19","72.92","15.6335710367526","0.624245748765771","33","57","56","42","27.1530444322545","46.9007131102578","46.0778935820077","34.5584201865058","forest","f","dutch","ns","run1","AN5b"
"20","antwerp5b_run2","18","66.2","16.3141993957704","0.748640483383686","36","43","54","42","32.6283987915408","38.9728096676737","48.9425981873112","38.0664652567976","playground","f","dutch","ns","run2","AN5b"
"21","antwerp6a_run1","27","95.44","16.9740150880134","0.636211232187762","54","51","73","76","33.9480301760268","32.0620284995809","45.8927074601844","47.7787091366303","gym","m","dutch","ns","run1","AN6a"
"22","antwerp6a_run2","18","101.08","10.6846062524733","0.588444796201029","24","26","31","30","14.2461416699644","15.4333201424614","18.401266323704","17.8076770874555","lake","m","dutch","ns","run2","AN6a"
"23","antwerp6b_run1","15","68.88","13.0662020905923","0.472706155632985","23","22","35","29","20.0348432055749","19.1637630662021","30.4878048780488","25.2613240418119","forest","m","dutch","ns","run1","AN6b"
"24","antwerp6b_run2","23","81.96","16.8374816983895","0.714006832601269","38","39","56","51","27.8184480234261","28.5505124450952","40.99560761347","37.3352855051245","playground","m","dutch","ns","run2","AN6b"
"25","leuven11a_run1","20","150.08","7.99573560767591","0.293976545842217","34","34","49","53","13.592750533049","13.592750533049","19.589552238806","21.1886993603412","gym","f","dutch","nns","run1","LE11a"
"26","leuven11a_run2","20","116.72","10.2810143934202","0.407470870459219","26","26","26","43","13.3653187114462","13.3653187114462","13.3653187114462","22.1041809458533","lake","f","dutch","nns","run2","LE11a"
"27","leuven11b_run1","13","86.48","9.01942645698427","0.284921369102683","23","21","27","30","15.9574468085106","14.5698427382054","18.7326549491212","20.8140610545791","forest","m","french","nns","run1","LE11b"
"28","leuven11b_run2","25","108.28","13.852973771703","0.376431473956409","41","47","53","54","22.7188769855929","26.0435906908016","29.3683043960103","29.9224233468785","playground","m","french","nns","run2","LE11b"
"29","leuven12a_run1","5","59.32","5.05731625084289","0.332434254888739","10","10","13","12","10.1146325016858","10.1146325016858","13.1490222521915","12.1375590020229","lake","f","dutch","nns","run1","LE12a"
"30","leuven12a_run2","5","68","4.41176470588235","0.179411764705882","9","9","10","12","7.94117647058824","7.94117647058824","8.82352941176471","10.5882352941176","gym","f","dutch","nns","run2","LE12a"
